iter,model,max_vertex_scale,max_vertex_moment,centered_vertex_features,pca,acc,bal_acc,roc_auc,pr_auc
0,SVC,1,1,True,No,0.4915254237288136,0.4885057471264368,-1.0,-1.0
1,SVC,1,1,True,No,0.6440677966101694,0.643103448275862,-1.0,-1.0
2,SVC,1,1,True,No,0.6779661016949152,0.6752873563218391,-1.0,-1.0
3,SVC,1,1,True,No,0.7457627118644068,0.7459770114942528,-1.0,-1.0
4,SVC,1,1,True,No,0.5344827586206896,0.5344827586206896,-1.0,-1.0
5,SVC,1,1,True,No,0.6724137931034483,0.6724137931034483,-1.0,-1.0
6,SVC,1,1,True,No,0.6206896551724138,0.6206896551724137,-1.0,-1.0
7,SVC,1,1,True,No,0.6724137931034483,0.6724137931034483,-1.0,-1.0
8,SVC,1,1,True,No,0.5862068965517241,0.5862068965517242,-1.0,-1.0
9,SVC,1,1,True,No,0.5689655172413793,0.5689655172413793,-1.0,-1.0
0,RBF,1,1,True,No,0.6779661016949152,0.6770114942528735,-1.0,-1.0
1,RBF,1,1,True,No,0.5932203389830508,0.5925287356321839,-1.0,-1.0
2,RBF,1,1,True,No,0.5254237288135594,0.5235632183908046,-1.0,-1.0
3,RBF,1,1,True,No,0.5254237288135594,0.5218390804597701,-1.0,-1.0
4,RBF,1,1,True,No,0.6551724137931034,0.6551724137931034,-1.0,-1.0
5,RBF,1,1,True,No,0.6896551724137931,0.6896551724137931,-1.0,-1.0
6,RBF,1,1,True,No,0.6379310344827587,0.6379310344827587,-1.0,-1.0
7,RBF,1,1,True,No,0.6379310344827587,0.6379310344827587,-1.0,-1.0
8,RBF,1,1,True,No,0.6724137931034483,0.6724137931034483,-1.0,-1.0
9,RBF,1,1,True,No,0.6379310344827587,0.6379310344827587,-1.0,-1.0
0,LR,1,1,True,No,0.5084745762711864,0.5,0.6885057471264368,0.6308668089178585
1,LR,1,1,True,No,0.5084745762711864,0.5,0.6011494252873564,0.5298863220644636
2,LR,1,1,True,No,0.5084745762711864,0.5,0.5264367816091954,0.5531519461141472
3,LR,1,1,True,No,0.5084745762711864,0.5,0.7091954022988505,0.6729511583874032
4,LR,1,1,True,No,0.5,0.5,0.5231866825208085,0.5169755457696783
5,LR,1,1,True,No,0.5,0.5,0.6563614744351962,0.6969830240239858
6,LR,1,1,True,No,0.5,0.5,0.6004756242568371,0.5751712736609879
7,LR,1,1,True,No,0.5,0.5,0.727705112960761,0.6855585582464265
8,LR,1,1,True,No,0.5,0.5,0.5517241379310344,0.5452595331485732
9,LR,1,1,True,No,0.5,0.5,0.464922711058264,0.5178472807667129
0,GB,1,1,True,No,0.711864406779661,0.7109195402298851,-1.0,-1.0
1,GB,1,1,True,No,0.6101694915254238,0.6091954022988506,-1.0,-1.0
2,GB,1,1,True,No,0.6779661016949152,0.6775862068965517,-1.0,-1.0
