iter,max_vertex_scale,max_vertex_moment,centered_vertex_features,pca,MAE,MSE,RMSE
0,1,1,False,No,0.9458660699274205,1.3657625847387287,1.1686584551265304
1,1,1,False,No,0.942909230665536,1.3817848158854005,1.1754934350669086
2,1,1,False,No,0.9298500518055363,1.3180489505515665,1.1480631300375281
3,1,1,False,No,0.9384115277673087,1.3929012301057753,1.1802123665280648
4,1,1,False,No,0.9820180936441505,1.4723696688567656,1.2134124067507985
5,1,1,False,No,0.9352049881352955,1.3491764844673604,1.161540565140693
6,1,1,False,No,0.9062079428889445,1.29047838675185,1.1359922476636228
7,1,1,False,No,0.939230220029201,1.3558777993725601,1.1644216587527734
8,1,1,False,No,0.9256120541578072,1.3721059671369953,1.1713692701863898
9,1,1,False,No,0.8997250891331571,1.2382064592184108,1.1127472575649922
10,1,1,False,No,0.9459150397756432,1.3893492326584567,1.178706593117412
11,1,1,False,No,0.9152918712480415,1.28956449932524,1.1355899344945075
12,1,1,False,No,0.9039526380057695,1.2672276590942397,1.1257120675795564
13,1,1,False,No,0.9156625216516158,1.3360042015524656,1.1558564796515463
14,1,1,False,No,0.930225176382136,1.3126684491517089,1.1457174386172662
15,1,1,False,No,0.9446150787290722,1.387194404248386,1.1777921736233374
16,1,1,False,No,0.957617693278827,1.4479464888118225,1.2033064816628483
17,1,1,False,No,0.9458049794262495,1.3808745989558862,1.1751062075216376
18,1,1,False,No,0.9112969034348133,1.289671545784768,1.1356370660491706
19,1,1,False,No,0.9359015294102337,1.3345862262006367,1.1552429295176996
20,1,1,False,No,0.9550277547159938,1.425028202170803,1.1937454511623502
21,1,1,False,No,0.8948346412361674,1.2438875562962974,1.1152970708722845
22,1,1,False,No,0.9634940143275625,1.4372175322069853,1.1988400778281418
23,1,1,False,No,0.9514862943136265,1.3930354448492486,1.1802692255791678
24,1,1,False,No,0.9105513509062138,1.3129899577709412,1.1458577388886202
25,1,1,False,No,0.9548373475693452,1.4186381098643028,1.1910659552956346
26,1,1,False,No,0.9351583520712393,1.350101776157689,1.1619388005216493
27,1,1,False,No,0.9182429911704609,1.2741198229028934,1.1287691628065029
28,1,1,False,No,0.9145006215989334,1.3044066221412496,1.14210622191688
29,1,1,False,No,0.9281085439611182,1.3206088472175264,1.1491774655019678
30,1,1,False,No,0.9445366676616368,1.4042949668509463,1.1850295215103066
31,1,1,False,No,0.9448256373253331,1.378738932102794,1.1741971436274208
32,1,1,False,No,0.9235717464951063,1.3129113858980925,1.1458234531977833
33,1,1,False,No,0.9171396443471128,1.3078987650832183,1.1436340171065298
34,1,1,False,No,0.9117713526527794,1.2670490052291534,1.1256327132902426
35,1,1,False,No,0.9235007243966198,1.303419585650759,1.1416740277551902
36,1,1,False,No,0.9333304777542617,1.338990316293861,1.1571474911582624
37,1,1,False,No,0.9234207485738444,1.2948033015956337,1.1378942400749
38,1,1,False,No,0.8989733516896015,1.2405713528885742,1.113809388041138
39,1,1,False,No,0.9519603983760628,1.3888692735682686,1.1785029798724602
40,1,1,False,No,0.953454001470617,1.3906876228331548,1.1792741932363122
41,1,1,False,No,0.9176887318155178,1.2939005229302472,1.1374974826039164
42,1,1,False,No,0.943317883511668,1.367248532376088,1.1692940316174063
