iter,max_vertex_scale,max_vertex_moment,centered_vertex_features,max_edge_scale,max_edge_moment,centered_edge_features,pca,MAE,MSE,RMSE
0,1,1,True,1,1,True,No,0.9005749140349163,1.2610988290843903,1.122986566742626
1,1,1,True,1,1,True,No,0.9041561867108308,1.2348615926000142,1.1112432643665446
2,1,1,True,1,1,True,No,0.9199298696084984,1.313656324229967,1.1461484739029089
3,1,1,True,1,1,True,No,0.9067870108078114,1.2907221376058524,1.1360995280369817
4,1,1,True,1,1,True,No,0.9081386151830066,1.2516761740195512,1.1187833454335792
0,1,1,True,1,1,True,No,0.9093799304603181,1.2797848302026529,1.1312757533875872
1,1,1,True,1,1,True,No,0.8880794124317456,1.2376018418751842,1.112475546641446
2,1,1,True,1,1,True,No,0.8944637852770972,1.2191893860322358,1.1041690930433778
3,1,1,True,1,1,True,No,0.8572468675794691,1.1558182534361396,1.0750898815616021
4,1,1,True,1,1,True,No,0.909417722647652,1.2806241835447731,1.1316466690379878
0,1,1,True,1,1,True,No,0.8755876010686331,1.225924024244964,1.1072145339747685
1,1,1,True,1,1,True,No,0.9159419073726128,1.27948742422489,1.131144298586564
2,1,1,True,1,1,True,No,0.9087299984709308,1.2767127710282742,1.1299171522851905
3,1,1,True,1,1,True,No,0.8909144161285645,1.2326549982805866,1.1102499710788496
4,1,1,True,1,1,True,No,0.9115125649917918,1.263296259321038,1.1239645276079837
0,1,1,True,1,1,True,No,0.8787353083218371,1.2108438271781057,1.1003834909603587
1,1,1,True,1,1,True,No,0.9054194531457475,1.2794189522980066,1.1311140315184878
2,1,1,True,1,1,True,No,0.9165258901708176,1.2935608177544706,1.1373481515149486
3,1,1,True,1,1,True,No,0.896298626343869,1.243983935181168,1.1153402777543577
4,1,1,True,1,1,True,No,0.8556995861042841,1.1102920254795725,1.053703955330705
0,1,1,True,1,1,True,No,0.9217206165815234,1.2958822311757006,1.1383682318018633
1,1,1,True,1,1,True,No,0.8669028275355325,1.1124106753583052,1.0547088106953053
2,1,1,True,1,1,True,No,0.9069590706902191,1.28611332102948,1.1340693634119035
3,1,1,True,1,1,True,No,0.8699925152925003,1.2055434165939325,1.097972411581426
4,1,1,True,1,1,True,No,0.8587916301539359,1.131729671454816,1.0638278391990013
0,1,1,True,1,1,True,No,0.9007757334589228,1.2521058482757237,1.1189753564202045
1,1,1,True,1,1,True,No,0.8701696812204832,1.172535927226609,1.0828369809101501
2,1,1,True,1,1,True,No,0.9022361836282107,1.259802127110399,1.1224090729811476
3,1,1,True,1,1,True,No,0.8894780623067111,1.233650559583299,1.1106982306564186
4,1,1,True,1,1,True,No,0.8981714513919186,1.2420689772118265,1.114481483566159
0,1,1,True,1,1,True,No,0.8839056109151024,1.1872617364546625,1.089615407588688
1,1,1,True,1,1,True,No,0.897245727302933,1.2482973916271676,1.117272299677732
2,1,1,True,1,1,True,No,0.8701491301790332,1.1964747331191214,1.0938348747041857
3,1,1,True,1,1,True,No,0.864815347867937,1.1446779048745286,1.0698962121974862
4,1,1,True,1,1,True,No,0.8854305838868095,1.2063098533023318,1.0983213797893272
0,1,1,True,1,1,True,No,0.8816283115792374,1.1793878909160762,1.0859962665295293
1,1,1,True,1,1,True,No,0.8713239533886149,1.177537942102858,1.0851442033678556
2,1,1,True,1,1,True,No,0.8647831226531916,1.1847431915770767,1.0884590904471683
3,1,1,True,1,1,True,No,0.9014934097847813,1.2530916261636424,1.1194157521509345
4,1,1,True,1,1,True,No,0.8746335877789085,1.200415064033303,1.0956345485759853
0,1,1,True,1,1,True,No,0.8443876017027148,1.1345521375560925,1.0651535746342367
1,1,1,True,1,1,True,No,0.9044799957922802,1.2870744814569852,1.134493050422516
2,1,1,True,1,1,True,No,0.8688204196420326,1.1364889794552888,1.0660623712781954
3,1,1,True,1,1,True,No,0.9050165325869685,1.2241882936112027,1.106430428726182
4,1,1,True,1,1,True,No,0.8906648887340551,1.231343129992554,1.109659015190051
0,1,1,True,1,1,True,No,0.8333371619060858,1.055330864213632,1.0272929787619656
1,1,1,True,1,1,True,No,0.8838346606626097,1.1923386757084882,1.09194261557487
2,1,1,True,1,1,True,No,0.8866874278574755,1.2108716780381918,1.1003961459575329
3,1,1,True,1,1,True,No,0.8942675292215129,1.2821850967393245,1.1323361235690241
4,1,1,True,1,1,True,No,0.8963537926474906,1.2520190588862794,1.1189365750060543
0,1,1,True,1,1,True,No,0.8725633680791177,1.1730353929596882,1.0830675846685138
1,1,1,True,1,1,True,No,0.938798292659225,1.3431422302486753,1.1589401322970376
2,1,1,True,1,1,True,No,0.9184048134517169,1.3055970958315135,1.1426272777382454
3,1,1,True,1,1,True,No,0.9198284956583109,1.3179947222334683,1.1480395124879057
4,1,1,True,1,1,True,No,0.8953199643024774,1.2048289903870422,1.0976470244969656
0,1,1,True,1,1,True,No,0.8731110212971679,1.1586619604476527,1.0764116129286476
1,1,1,True,1,1,True,No,0.879696500509582,1.2133746324565844,1.1015328558225508
2,1,1,True,1,1,True,No,0.9096752824199968,1.3086344102960752,1.1439555980439429
3,1,1,True,1,1,True,No,0.8925009971259958,1.2083157429971483,1.0992341620406219
4,1,1,True,1,1,True,No,0.8996746714671433,1.2669772106717179,1.1256008220820193
0,1,1,True,1,1,True,No,0.8812461853763277,1.1887720632432377,1.0903082423073016
1,1,1,True,1,1,True,No,0.8570664966509249,1.1216227069092537,1.059066903887216
2,1,1,True,1,1,True,No,0.8904837562312405,1.24770227273167,1.1170059412248754
3,1,1,True,1,1,True,No,0.937480436359974,1.340300616812416,1.1577135296835812
4,1,1,True,1,1,True,No,0.9278403153252724,1.3296236673666513,1.1530930870344558
0,1,1,True,1,1,True,No,0.9126225123934756,1.2991150548727215,1.1397872849232533
1,1,1,True,1,1,True,No,0.8535301173879675,1.1508011341987685,1.0727539951912408
2,1,1,True,1,1,True,No,0.9023173672226946,1.2478449937926197,1.117069824940509
3,1,1,True,1,1,True,No,0.8637423025275146,1.1464534517773781,1.070725665974893
4,1,1,True,1,1,True,No,0.9204123048844769,1.29679058291648,1.138767132875058
0,1,1,True,1,1,True,No,0.8809842572534042,1.1812627523935844,1.086859122606782
1,1,1,True,1,1,True,No,0.8702139097190379,1.1501107629814733,1.0724321717393008
2,1,1,True,1,1,True,No,0.8921796006027887,1.2900890192660128,1.135820857030726
3,1,1,True,1,1,True,No,0.8619602192030584,1.1288914283030707,1.062493025060904
4,1,1,True,1,1,True,No,0.9106238257520085,1.2646680339757284,1.1245746013385365
0,1,1,True,1,1,True,No,0.8995429555129912,1.2566273090853508,1.1209938934201875
1,1,1,True,1,1,True,No,0.8649947186392305,1.1580774764061383,1.0761400821482947
2,1,1,True,1,1,True,No,0.8746740960972659,1.1857279887250556,1.0889113778104513
3,1,1,True,1,1,True,No,0.9035682561988029,1.2563795483559834,1.1208833785706627
4,1,1,True,1,1,True,No,0.8566828657359135,1.141906902913474,1.068600441190941
0,1,1,True,1,1,True,No,0.8920374761735109,1.2451360443406283,1.1158566414825106
1,1,1,True,1,1,True,No,0.8772866238297528,1.2056126529427562,1.0980039403129462
2,1,1,True,1,1,True,No,0.861677661003018,1.115786836423157,1.056308116234632
3,1,1,True,1,1,True,No,0.8786161260604567,1.1802952191824359,1.0864139262649553
4,1,1,True,1,1,True,No,0.8913954106673654,1.2276501779527171,1.1079937625964855
0,1,1,True,1,1,True,No,0.8813175001136697,1.2131139940790638,1.1014145423404686
1,1,1,True,1,1,True,No,0.8387108476032047,1.1210003837118863,1.0587730558112471
2,1,1,True,1,1,True,No,0.8544963821140079,1.1072958408229634,1.0522812555695191
3,1,1,True,1,1,True,No,0.8868071956278599,1.199008814621697,1.094992609391359
4,1,1,True,1,1,True,No,0.8719101866103899,1.1787771157272342,1.0857150250996963
0,1,1,True,1,1,True,No,0.8830915950304163,1.240271982271345,1.1136749895150493
1,1,1,True,1,1,True,No,0.8621976018086333,1.1488625021301535,1.0718500371461268
2,1,1,True,1,1,True,No,0.908576965938084,1.261699039515087,1.123253773425706
3,1,1,True,1,1,True,No,0.8566238291815069,1.103441344726589,1.0504481637504008
4,1,1,True,1,1,True,No,0.8982760218984688,1.2624623116783051,1.1235934815040114
0,1,1,True,1,1,True,No,0.8814866774547249,1.1833192760605284,1.0878047968548992
1,1,1,True,1,1,True,No,0.868607965534857,1.168905796226097,1.081159468453242
2,1,1,True,1,1,True,No,0.8353668456945854,1.1151717638571008,1.0560169335086917
3,1,1,True,1,1,True,No,0.8609179573789956,1.1448940446552065,1.0699972171249823
4,1,1,True,1,1,True,No,0.8658296228002029,1.1710080902886069,1.0821312722071232
0,1,1,True,1,1,True,No,0.9123056614568537,1.2883669332528052,1.1350625239398953
1,1,1,True,1,1,True,No,0.9253891607028606,1.3668500558292171,1.1691236272649772
2,1,1,True,1,1,True,No,0.8942894180652093,1.2321331820654173,1.1100149467756808
3,1,1,True,1,1,True,No,0.8993774969584549,1.2313402062948544,1.109657697803631
4,1,1,True,1,1,True,No,0.9197487053935711,1.2490587930039316,1.1176129889205528
0,1,1,True,1,1,True,No,0.8505567404440294,1.1363326635694617,1.0659890541508679
1,1,1,True,1,1,True,No,0.888558684907198,1.2544749857584163,1.1200334752847418
2,1,1,True,1,1,True,No,0.9101744879836772,1.281173477504525,1.1318893397786398
3,1,1,True,1,1,True,No,0.8767205613656815,1.1676400410300345,1.0805739405658616
4,1,1,True,1,1,True,No,0.9238831266401457,1.3113824930305293,1.145156099852998
0,1,1,True,1,1,True,No,0.9381010216407663,1.3637199871849666,1.1677842211577303
1,1,1,True,1,1,True,No,0.8555845016694893,1.123309520302132,1.0598629724177233
2,1,1,True,1,1,True,No,0.9055081601444122,1.2593047169902665,1.1221874696280771
3,1,1,True,1,1,True,No,0.8895754629926036,1.2252620263828817,1.106915546183575
4,1,1,True,1,1,True,No,0.9053698230865151,1.2632522638790409,1.1239449558937666
0,1,1,True,1,1,True,No,0.9275365419716728,1.3047326402159911,1.1422489396869628
1,1,1,True,1,1,True,No,0.8827599853053464,1.2327831425377926,1.1103076792213016
2,1,1,True,1,1,True,No,0.8868213244221981,1.1899806200309762,1.0908623286331673
3,1,1,True,1,1,True,No,0.8474921227475729,1.1202825439143196,1.058434005460104
4,1,1,True,1,1,True,No,0.9122253956387956,1.3172718019561376,1.1477246193909658
0,1,1,True,1,1,True,No,0.874765392288196,1.1965631051065773,1.0938752694464653
1,1,1,True,1,1,True,No,0.8913226955142652,1.2287737950724227,1.1085006969201339
2,1,1,True,1,1,True,No,0.859027385875183,1.148815519056088,1.0718281201088578
3,1,1,True,1,1,True,No,0.8772753032032837,1.1790255689421119,1.085829438237015
4,1,1,True,1,1,True,No,0.9032328224544359,1.2353666343838852,1.1114704829116628
0,1,1,True,1,1,True,No,0.8699136359287617,1.1538413828701963,1.0741700902884033
1,1,1,True,1,1,True,No,0.8978967997981891,1.2739070743291472,1.1286749196864203
2,1,1,True,1,1,True,No,0.8601989537333763,1.1722121319406427,1.0826874581062822
3,1,1,True,1,1,True,No,0.8717708917889004,1.1784401803067537,1.0855598464878635
4,1,1,True,1,1,True,No,0.8607349839907488,1.171977275147727,1.08257899256716
0,1,1,True,1,1,True,No,0.8525609771947943,1.144530886271796,1.0698275030451385
1,1,1,True,1,1,True,No,0.9020027174377137,1.2613335987307273,1.1230910910209944
2,1,1,True,1,1,True,No,0.882313139045385,1.2088482453184464,1.0994763505043874
3,1,1,True,1,1,True,No,0.8806321752655367,1.1813779453227382,1.0869121148109162
4,1,1,True,1,1,True,No,0.8989447875259231,1.2104402113767818,1.1002000778843737
0,1,1,True,1,1,True,No,0.8299502419747891,1.0919324938852257,1.0449557377636747
1,1,1,True,1,1,True,No,0.8524033227272102,1.106395181374195,1.0518532128458775
2,1,1,True,1,1,True,No,0.850529168764681,1.1001892010534498,1.048899042355102
3,1,1,True,1,1,True,No,0.9155092635348419,1.2922565489780462,1.13677462541088
